"Country","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
Colombia,-5.93,65.6,73.49,106.84,100.8,61.64,95.23,130.09,193.13,166.56,224.1,186.05,190.33,212.04,179.74,168.6,134.61,131.57,141.45,168.4,376.25,394.68,475.07,615.25,728.03,836.37,675.93,364.51,392.88,190.48,-1.45,140.32,-107.16,-467.97,-439.82,71.53,294.93,-29.06,502.38,1143.46,-24.91,1011.95,369.64,2728.17,477.06,-245.6,2253.63,1657.74,2435.71,2840.27,2167.71,1403.8,0
Comoros,0,0,0,0,0,0,6.1,9.7,7.85,6.36,7.89,8.82,10.21,17.62,27.54,21.56,25.42,12.08,13.4,19.33,43.2,46.37,39.15,40.18,45.25,50.55,46.57,54.07,51.22,44.07,44.95,57.22,46.67,48.22,38.57,41.47,38.44,29.66,41.05,22.72,18.68,27.56,27.03,24.54,26.13,22.82,31.88,35.13,41.64,49.41,69.53,50.73,0
"Congo, Dem. Rep.",89.79,86.56,115.97,104.4,121.42,149.57,87.79,88.1,76.66,84.76,95.3,122.66,148.15,215.66,302.18,431.93,300.69,464.22,499.38,450.63,818.04,660.05,431.07,345.9,913.96,387.32,620.22,901.68,831.83,881.69,1419.69,578.98,267.38,172.18,253.45,188.48,160.12,211.78,108.21,132.38,173.69,244.58,1090.52,6708.34,1806.03,1810.25,1381.32,1188.33,1617.59,2182.61,3416.9,3458.71,0
"Congo, Rep.",0.02,0.19,3.07,5.55,17.76,15.85,25.64,28.01,21.6,33.85,22.79,32.99,37.94,32.12,18.59,80.25,107.04,80.68,125.28,109.57,77.42,74.07,126.28,117.83,118.97,108.39,293.71,329.12,220.38,106.46,226.26,327.8,108.88,126.25,451.25,394.03,441.25,280.66,57.24,136.34,16.42,15.12,24.01,422.56,29.85,1855.67,139.73,26.48,281.33,171.35,338.27,198.16,0
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,6.42,7.05,5.75,5.62,6.68,7.49,6.95,7.75,11.42,11.67,11.56,10.56,8.05,10.81,27.44,11.05,11.92,12.75,11.38,20.47,41.77,-12.16,-22.42,13.04,10.38,9.47,7.7,5.79,4.15,4.64,3.61,5.99,8.65,7.41,24.09,8.94,5.48,6.82,23.09,30.56,0
Costa Rica,4.09,7.75,13.7,13.82,17.46,25.21,17.74,20.54,12.2,15.92,13.81,21.51,28.68,31.11,35.01,47.57,56.79,62.97,84.02,84.65,98.1,85.44,98.88,275.86,265.04,392.67,289.13,222.8,176.84,251.45,237.73,207.89,173.88,137.68,154.7,79.58,-25.92,28.53,29.7,0.58,-39.57,-49.5,-23.44,34.44,5.13,-102.57,-36.61,-49.98,-29.08,133.88,608.82,217.34,0
Cote d'Ivoire,0.13,3.37,9,8.35,39.01,38.82,38.03,36.5,46.35,53.9,71.43,73.03,75.83,133.75,104.73,149.21,151.91,228.8,232.88,241.85,369.53,188.13,370.99,401.54,473.25,238.36,349.66,653.78,619.33,508.46,1121.9,913.8,1026.7,693.34,1660.13,1147.33,815.32,303.19,758.6,415.32,275.67,79.24,1186.9,99.31,78.86,75.11,232.23,85.1,206.75,1664.99,769.09,1382.16,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,119.7,99.59,322.17,303.76,206.39,82.21,154.86,214.72,328.61,387.92,411.18,250.94,681.27,332.53,533.62,433.95,679.95,0,0
Cuba,10.82,0.19,0.04,-0.17,0.44,0.58,0.73,0.74,1.27,1.64,2.77,17.52,4.45,3.19,15.51,27.01,85.91,60.45,53.92,55.58,40,30.75,34.5,73.3,90.84,60.71,55.45,70.5,60.22,53.89,60.11,93.43,41.69,31.48,25.83,56.17,56.82,60.08,83.31,77.38,47.51,17.01,39.64,78.89,107,109.01,91.78,104.84,118.9,113.93,129.14,84.28,0
Cyprus,24.09,20.03,15.57,12.86,7.54,12.87,5.13,0.92,0.96,4.74,8.96,10.02,8.98,16.45,30.49,32.23,59.74,99.11,55.47,38.26,56.89,50.32,38.67,30.04,32.13,105.26,118.58,148.96,74.73,74.63,42.43,77.15,-28.7,43.05,-27.68,-42.62,43.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,6.47,9.75,9.71,10.52,11.83,10.65,13.35,19.48,29.06,34.4,30.03,45.63,104.3,23.08,72.79,64.51,58.82,65.22,101.96,81.35,114.93,105.3,92.6,75.02,206.96,107.16,112.21,134.49,128.71,105.54,94.68,85.39,80.94,75.02,72.13,59.3,74.1,80.44,64.14,74.12,129.41,112.61,142.01,282.25,155.01,146.52,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,4,7.9,4.61,4.97,6.66,9.05,17.63,14.76,16.78,9.9,16.13,16.75,11.68,17.69,17.66,24.22,19.39,18.02,6.66,9.03,19.51,24.25,43.14,10.38,20.22,12.7,18.46,22.43,51.83,14.63,28.84,24.17,18.91,18.17,20.42,33.61,31.3,28.08,0
Dominican Republic,0.29,0.03,20.99,48.02,23.13,78.46,55.14,62.97,67.45,48.29,57.51,51.33,50.84,33.56,28.9,55.68,49.29,28.22,20.22,109.18,157,128.17,161.22,122.03,221.05,263.61,318.19,149.91,129.94,173.5,136.38,102.76,90.63,258.61,98.71,165.4,88.39,40.09,127.95,295.06,72.86,155.37,316.27,142.66,364.75,264.13,191.99,35.77,71.69,758.17,1227.41,691.1,0
East African Community,0,0,0,0,0,0,16.4,10.77,-0.07,2.51,3.44,17.59,11.25,11.61,16.01,21.85,19.17,6.7,15.54,3.41,5.45,4.95,4.17,5.23,2.51,10.83,1.84,1.2,0.76,0,0,0,-0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,14.87,16.29,16.98,16.96,18.01,21.16,28.75,31.89,28.49,28.12,21.55,26.54,33.77,34.6,50.03,86.73,92.16,63.3,66.16,120.3,152.2,146.53,135.72,125.07,236.46,214.25,544.18,447.62,411.6,501.25,352.61,253.26,314.55,208.57,291.17,632.94,256.86,116.7,248.93,175.67,226.39,265.35,292.07,251.24,-14.05,45.48,176.28,336.83,212.5,263.84,110.23,413.72,0
Egypt,208.81,126.87,202.01,204.19,231.5,118.76,91.53,27.41,23.33,-1.62,365.56,426.59,125.28,958.37,1606.27,3199.05,2535.34,2707.38,2814.78,1764.84,1556.77,1479.89,1776.71,1650.93,2031.42,2021.06,1737.03,1870.02,3929.77,1818.06,4793.38,5518.58,2932.25,3540.68,3391.46,2664.1,2793.76,2619.3,2279.75,1813.06,1410.49,1530.28,1442,1217.8,2088.23,2101.81,1209.84,2645.07,2054.39,1667.49,1472.28,927.71,0
El Salvador,2.22,9.68,7.19,12.72,12.83,17.56,20.96,15.04,13.28,10.63,13.42,12.11,18.36,23.39,33.27,46.59,38.83,54.89,68.87,73.62,110.83,174.65,232.5,360.12,294.53,377.7,343.13,425.05,406.93,419.08,308.27,317.07,386.75,456.55,394.32,381.63,490.04,386.59,286.7,331.26,283.4,431.13,352.8,281.82,208.44,323.33,148.58,92.22,444.45,685.2,626.28,454.78,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,15.89,2.18,0.42,0.84,0.59,2.63,9.92,11.68,16.6,12.28,15.31,16.81,25.4,52.51,47.89,60.32,60.8,61.1,60.16,52.54,29.75,35.16,33.26,24.12,21.62,18.94,20.22,12.24,19.1,19.83,28.05,54.02,216.81,57.47,32.08,24.24,49.52,48.1,0
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.62,2.15,1.62,0,2.12,4.93,4.14,4.68,5.61,4.5,4.5,4.5,0,1,2,2,0,4.5,0,1,67.71,154.15,148.29,157.49,123.32,167.71,148.68,177.05,283.71,225.81,316.62,264.9,349.22,125.8,158.37,143.48,143.69,160.54,135.88,0
Ethiopia,19.85,26.46,31.84,26.8,17.28,26.73,37.01,29.63,45.93,47.32,44.31,57.23,55.64,68.36,107.18,133.22,136.73,111.91,133.48,199.4,208.29,254.69,203.02,337.79,358.32,739.34,635.5,613.49,950.48,734.03,1007.23,1106.47,1178.52,1115.45,1054.96,899,852.51,615.62,675.52,634.6,668.4,1083.99,1268.62,1602.2,1705.16,1818.11,1989.52,2524.26,3315.4,3807.56,3689.33,3692.75,0
Falkland Islands,0.01,0.14,0.07,0.04,0.03,0.05,2.61,2.1,0.71,0.07,0.11,0.21,0.13,0.55,2.75,3.06,2.69,1.95,4.07,1.93,2.33,2.12,7.3,13.7,8.05,13.84,14.74,13.31,7.6,6.01,1.78,3.76,0.41,6.28,0.07,1.66,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
